run_id,minute_ts,bar_time_utc,p_close_mid,x_close_mid,ratio_close_mid,mean,std,z_mid,cross_up,cross_down,pos,ratio_exec_L,ratio_exec_S,z_exec_L,z_exec_S,p_last,p_bid,p_ask,x_last,x_bid,x_ask,signal,note,t,trades_count,trades_events,trades_actions,trades_reason_sample
20260228_065903_b8b90d7d,1772263080,2026-02-28 07:18:00,5344.2,5325.05,0.36,0.33,0.09,0.31,0,0,LONG_SPREAD,0.36,0.36,0.32,0.3,5345.01,5344.19,5344.2,5325.1,5325.0,5325.1,,,2026-02-28 07:18:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263140,2026-02-28 07:19:00,5340.22,5318.85,0.4,0.33,0.09,0.78,0,0,LONG_SPREAD,0.4,0.39,0.73,0.68,5340.26,5340.21,5340.22,5320.1,5319.1,5319.3,,,2026-02-28 07:19:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263200,2026-02-28 07:20:00,5337.54,5315.85,0.41,0.33,0.09,0.85,0,0,LONG_SPREAD,0.41,0.41,0.88,0.86,5337.54,5337.53,5337.54,5315.8,5315.7,5315.8,,,2026-02-28 07:20:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263260,2026-02-28 07:21:00,5336.34,5312.65,0.45,0.33,0.09,1.27,0,0,LONG_SPREAD,0.4,0.4,0.8,0.73,5336.34,5336.84,5336.85,5312.7,5315.4,5315.7,,,2026-02-28 07:21:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263320,2026-02-28 07:22:00,5337.0,5314.55,0.42,0.33,0.09,1.01,0,0,LONG_SPREAD,0.44,0.43,1.17,1.1,5338.89,5337.0,5337.01,5314.6,5313.8,5314.1,,,2026-02-28 07:22:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263380,2026-02-28 07:23:00,5337.24,5313.75,0.44,0.33,0.09,1.22,0,0,LONG_SPREAD,0.44,0.44,1.18,1.16,5337.34,5337.0,5337.01,5313.8,5313.7,5313.8,,,2026-02-28 07:23:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263440,2026-02-28 07:24:00,5337.44,5313.15,0.46,0.33,0.09,1.38,0,0,LONG_SPREAD,0.46,0.45,1.4,1.37,5337.43,5337.43,5337.44,5313.2,5313.1,5313.2,,,2026-02-28 07:24:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263500,2026-02-28 07:25:00,5339.42,5314.75,0.46,0.33,0.09,1.46,0,0,LONG_SPREAD,0.46,0.46,1.47,1.45,5339.43,5339.42,5339.43,5314.7,5314.7,5314.8,,,2026-02-28 07:25:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263560,2026-02-28 07:26:00,5344.18,5319.95,0.45,0.33,0.09,1.35,0,0,LONG_SPREAD,0.45,0.44,1.26,1.23,5344.18,5343.65,5343.66,5319.9,5319.9,5320.0,,,2026-02-28 07:26:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263620,2026-02-28 07:27:00,5347.56,5324.25,0.44,0.33,0.09,1.15,0,0,LONG_SPREAD,0.44,0.44,1.16,1.14,5346.35,5347.55,5347.56,5323.9,5324.2,5324.3,,,2026-02-28 07:27:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263680,2026-02-28 07:28:00,5349.24,5325.65,0.44,0.33,0.09,1.21,0,0,LONG_SPREAD,0.44,0.44,1.22,1.19,5349.24,5349.23,5349.24,5326.8,5325.6,5325.7,,,2026-02-28 07:28:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263740,2026-02-28 07:29:00,5349.3,5326.95,0.42,0.33,0.09,0.94,0,0,LONG_SPREAD,0.42,0.42,0.96,0.93,5349.3,5349.3,5349.31,5327.0,5326.9,5327.0,,,2026-02-28 07:29:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263800,2026-02-28 07:30:00,5351.82,5329.35,0.42,0.33,0.09,0.96,0,0,LONG_SPREAD,0.42,0.42,0.98,0.95,5350.28,5351.82,5351.83,5329.4,5329.3,5329.4,,,2026-02-28 07:30:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263860,2026-02-28 07:31:00,5359.92,5334.15,0.48,0.33,0.09,1.64,0,0,LONG_SPREAD,0.48,0.48,1.65,1.62,5359.91,5359.91,5359.92,5334.2,5334.1,5334.2,,,2026-02-28 07:31:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263920,2026-02-28 07:32:00,5358.58,5333.15,0.48,0.34,0.09,1.56,0,0,LONG_SPREAD,0.49,0.49,1.73,1.71,5363.63,5359.36,5359.37,5333.2,5333.1,5333.2,,,2026-02-28 07:32:00+00:00,0,,,
20260228_065903_b8b90d7d,1772263980,2026-02-28 07:33:00,5360.76,5330.05,0.57,0.34,0.09,2.63,0,0,LONG_SPREAD,0.58,0.57,2.64,2.62,5360.77,5360.76,5360.77,5330.1,5330.0,5330.1,,,2026-02-28 07:33:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264040,2026-02-28 07:34:00,5361.08,5331.15,0.56,0.34,0.09,2.45,0,0,LONG_SPREAD,0.56,0.56,2.46,2.44,5360.95,5361.08,5361.09,5331.2,5331.1,5331.2,,,2026-02-28 07:34:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264100,2026-02-28 07:35:00,5365.38,5335.55,0.56,0.34,0.09,2.4,0,0,LONG_SPREAD,0.56,0.56,2.41,2.39,5365.37,5365.37,5365.38,5335.6,5335.5,5335.6,,,2026-02-28 07:35:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264160,2026-02-28 07:36:00,5361.54,5331.45,0.56,0.34,0.09,2.44,0,0,LONG_SPREAD,0.55,0.55,2.33,2.31,5361.75,5360.94,5360.95,5331.4,5331.4,5331.5,,,2026-02-28 07:36:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264220,2026-02-28 07:37:00,5361.06,5331.65,0.55,0.34,0.09,2.29,0,0,LONG_SPREAD,0.55,0.55,2.3,2.28,5361.06,5361.06,5361.07,5331.6,5331.6,5331.7,,,2026-02-28 07:37:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264280,2026-02-28 07:38:00,5366.44,5334.95,0.59,0.34,0.09,2.67,0,0,LONG_SPREAD,0.59,0.59,2.72,2.7,5366.44,5366.59,5366.62,5335.0,5334.9,5335.0,,,2026-02-28 07:38:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264340,2026-02-28 07:39:00,5359.28,5328.85,0.57,0.34,0.09,2.45,0,0,LONG_SPREAD,0.57,0.56,2.44,2.36,5362.76,5359.28,5359.29,5328.8,5328.9,5329.3,,,2026-02-28 07:39:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264400,2026-02-28 07:40:00,5357.8,5327.05,0.58,0.34,0.09,2.5,0,0,LONG_SPREAD,0.58,0.57,2.51,2.48,5357.78,5357.78,5357.81,5327.1,5327.0,5327.1,,,2026-02-28 07:40:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264460,2026-02-28 07:41:00,5357.44,5326.1,0.59,0.34,0.1,2.59,0,0,LONG_SPREAD,0.6,0.6,2.71,2.69,5356.56,5357.95,5357.96,5326.0,5326.0,5326.1,,,2026-02-28 07:41:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264520,2026-02-28 07:42:00,5360.04,5327.55,0.61,0.34,0.1,2.79,0,0,LONG_SPREAD,0.61,0.61,2.8,2.78,5360.34,5360.04,5360.05,5327.5,5327.5,5327.6,,,2026-02-28 07:42:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264580,2026-02-28 07:43:00,5359.42,5326.05,0.62,0.34,0.1,2.93,0,0,LONG_SPREAD,0.63,0.62,2.96,2.92,5359.74,5359.03,5359.04,5326.1,5325.5,5325.7,,,2026-02-28 07:43:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264640,2026-02-28 07:44:00,5359.72,5323.65,0.68,0.34,0.1,3.4,0,0,LONG_SPREAD,0.68,0.67,3.41,3.39,5357.99,5359.71,5359.72,5323.7,5323.6,5323.7,,,2026-02-28 07:44:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264700,2026-02-28 07:45:00,5359.42,5324.55,0.65,0.34,0.1,3.13,0,0,LONG_SPREAD,0.65,0.65,3.15,3.12,5358.36,5359.41,5359.42,5323.6,5324.5,5324.6,,,2026-02-28 07:45:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264760,2026-02-28 07:46:00,5363.58,5329.55,0.64,0.34,0.1,2.94,0,0,LONG_SPREAD,0.63,0.63,2.91,2.89,5363.57,5363.37,5363.38,5328.7,5329.5,5329.6,,,2026-02-28 07:46:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264820,2026-02-28 07:47:00,5365.74,5331.85,0.63,0.34,0.1,2.88,0,0,LONG_SPREAD,0.63,0.63,2.87,2.84,5365.33,5365.58,5365.61,5332.0,5331.8,5331.9,,,2026-02-28 07:47:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264880,2026-02-28 07:48:00,5365.74,5331.35,0.64,0.34,0.1,2.94,0,0,LONG_SPREAD,0.64,0.64,2.95,2.93,5365.75,5365.74,5365.75,5331.4,5331.3,5331.4,,,2026-02-28 07:48:00+00:00,0,,,
20260228_065903_b8b90d7d,1772264940,2026-02-28 07:49:00,5365.2,5331.35,0.63,0.34,0.1,2.81,0,0,LONG_SPREAD,0.63,0.63,2.82,2.8,5365.73,5365.2,5365.21,5331.4,5331.3,5331.4,,,2026-02-28 07:49:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265000,2026-02-28 07:50:00,5368.88,5331.35,0.7,0.35,0.1,3.44,0,0,LONG_SPREAD,0.7,0.7,3.45,3.43,5368.89,5368.88,5368.89,5331.4,5331.3,5331.4,,,2026-02-28 07:50:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265060,2026-02-28 07:51:00,5369.14,5332.15,0.69,0.35,0.1,3.29,0,0,LONG_SPREAD,0.69,0.69,3.3,3.28,5368.01,5369.14,5369.15,5332.2,5332.1,5332.2,,,2026-02-28 07:51:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265120,2026-02-28 07:52:00,5370.0,5332.65,0.7,0.35,0.11,3.31,0,0,LONG_SPREAD,0.7,0.69,3.33,3.28,5370.01,5368.64,5368.65,5332.6,5331.2,5331.5,,,2026-02-28 07:52:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265180,2026-02-28 07:53:00,5367.88,5330.9,0.69,0.35,0.11,3.21,0,0,LONG_SPREAD,0.7,0.7,3.26,3.24,5367.89,5367.88,5367.89,5331.1,5330.6,5330.7,,,2026-02-28 07:53:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265240,2026-02-28 07:54:00,5365.06,5328.25,0.69,0.35,0.11,3.14,0,0,LONG_SPREAD,0.69,0.69,3.15,3.13,5365.06,5365.05,5365.06,5328.3,5328.2,5328.3,,,2026-02-28 07:54:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265300,2026-02-28 07:55:00,5364.0,5326.95,0.69,0.35,0.11,3.15,0,0,LONG_SPREAD,0.69,0.69,3.11,3.09,5364.0,5363.7,5363.71,5327.0,5326.9,5327.0,,,2026-02-28 07:55:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265360,2026-02-28 07:56:00,5366.32,5327.05,0.73,0.35,0.11,3.48,0,0,LONG_SPREAD,0.74,0.73,3.51,3.48,5366.29,5366.29,5366.36,5326.9,5326.9,5327.0,,,2026-02-28 07:56:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265420,2026-02-28 07:57:00,5366.92,5329.55,0.7,0.35,0.11,3.12,0,0,LONG_SPREAD,0.69,0.69,3.08,3.06,5366.93,5366.92,5366.93,5329.5,5329.8,5329.9,,,2026-02-28 07:57:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265480,2026-02-28 07:58:00,5369.0,5331.15,0.71,0.35,0.11,3.16,0,0,LONG_SPREAD,0.7,0.7,3.14,3.12,5369.01,5369.0,5369.01,5331.4,5331.3,5331.4,,,2026-02-28 07:58:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265540,2026-02-28 07:59:00,5369.0,5330.75,0.71,0.35,0.11,3.19,0,0,LONG_SPREAD,0.71,0.71,3.13,3.12,5368.99,5368.61,5368.62,5330.8,5330.7,5330.8,,,2026-02-28 07:59:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265600,2026-02-28 08:00:00,5373.5,5334.95,0.72,0.35,0.11,3.19,0,0,LONG_SPREAD,0.72,0.72,3.2,3.18,5373.5,5373.49,5373.5,5334.7,5334.9,5335.0,,,2026-02-28 08:00:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265660,2026-02-28 08:01:00,5375.74,5338.25,0.7,0.35,0.12,2.98,0,0,LONG_SPREAD,0.71,0.7,3.04,3.02,5375.73,5376.01,5376.02,5338.3,5338.2,5338.3,,,2026-02-28 08:01:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265720,2026-02-28 08:02:00,5376.76,5337.05,0.74,0.35,0.12,3.3,0,0,LONG_SPREAD,0.74,0.74,3.31,3.29,5376.76,5376.76,5376.77,5336.9,5337.0,5337.1,,,2026-02-28 08:02:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265780,2026-02-28 08:03:00,5379.46,5338.75,0.76,0.35,0.12,3.41,0,0,LONG_SPREAD,0.75,0.75,3.36,3.35,5378.75,5379.1,5379.11,5338.8,5338.7,5338.8,,,2026-02-28 08:03:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265840,2026-02-28 08:04:00,5379.62,5339.75,0.74,0.36,0.12,3.24,0,0,LONG_SPREAD,0.74,0.74,3.21,3.19,5379.7,5379.38,5379.41,5339.8,5339.7,5339.8,,,2026-02-28 08:04:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265900,2026-02-28 08:05:00,5383.8,5342.95,0.76,0.36,0.12,3.34,0,0,LONG_SPREAD,0.76,0.76,3.35,3.33,5383.79,5383.79,5383.8,5343.0,5342.9,5343.0,,,2026-02-28 08:05:00+00:00,0,,,
20260228_065903_b8b90d7d,1772265960,2026-02-28 08:06:00,5387.82,5344.45,0.81,0.36,0.12,3.67,0,0,LONG_SPREAD,0.8,0.79,3.57,3.56,5387.82,5387.15,5387.16,5344.4,5344.4,5344.5,,,2026-02-28 08:06:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266020,2026-02-28 08:07:00,5391.2,5345.4,0.85,0.36,0.12,3.96,0,0,LONG_SPREAD,0.85,0.85,3.97,3.92,5391.19,5391.26,5391.27,5345.0,5345.4,5345.7,,,2026-02-28 08:07:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266080,2026-02-28 08:08:00,5396.84,5348.85,0.89,0.36,0.13,4.2,0,0,LONG_SPREAD,0.89,0.89,4.2,4.19,5396.84,5396.84,5396.85,5348.9,5348.8,5348.9,,,2026-02-28 08:08:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266140,2026-02-28 08:09:00,5389.0,5344.55,0.83,0.36,0.13,3.63,0,0,LONG_SPREAD,0.83,0.82,3.61,3.6,5394.94,5388.82,5388.83,5344.6,5344.5,5344.6,,,2026-02-28 08:09:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266200,2026-02-28 08:10:00,5390.08,5346.85,0.81,0.36,0.13,3.4,0,0,LONG_SPREAD,0.81,0.8,3.41,3.4,5390.08,5390.08,5390.09,5346.9,5346.8,5346.9,,,2026-02-28 08:10:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266260,2026-02-28 08:11:00,5389.56,5345.05,0.83,0.36,0.13,3.53,0,0,LONG_SPREAD,0.83,0.83,3.54,3.53,5389.56,5389.55,5389.56,5345.0,5345.0,5345.1,,,2026-02-28 08:11:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266320,2026-02-28 08:12:00,5394.88,5349.95,0.84,0.36,0.13,3.53,0,0,LONG_SPREAD,0.84,0.84,3.54,3.53,5394.88,5394.87,5394.88,5350.0,5349.9,5350.0,,,2026-02-28 08:12:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266380,2026-02-28 08:13:00,5392.64,5348.25,0.83,0.36,0.14,3.42,0,0,LONG_SPREAD,0.83,0.83,3.44,3.42,5392.65,5392.64,5392.65,5348.3,5348.1,5348.2,,,2026-02-28 08:13:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266440,2026-02-28 08:14:00,5393.84,5349.55,0.82,0.37,0.14,3.35,0,0,LONG_SPREAD,0.83,0.83,3.37,3.36,5393.84,5393.83,5393.84,5349.5,5349.4,5349.5,,,2026-02-28 08:14:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266500,2026-02-28 08:15:00,5394.74,5349.55,0.84,0.37,0.14,3.43,0,0,LONG_SPREAD,0.84,0.83,3.43,3.37,5394.74,5394.73,5394.74,5349.6,5349.5,5350.0,,,2026-02-28 08:15:00+00:00,0,,,
